NAME,DISTURBANCE_ID,TM,TYPE,LAT,LON,CENTRAL_PRES,MN_RADIUS_GF_WIND,MAX_WIND_SPD,COMMENT
unnamed,AU190607_01U,1/17/1907 23:00,T,-13,146.5,994,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/18/1907 23:00,T,-15,145,993,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/19/1907 23:00,T,-14,143,993,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/20/1907 23:00,T,-13.5,142,993,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/21/1907 23:00,T,-15.6,141.5,998,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/22/1907 23:00,T,-17,140.3,994,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/23/1907 23:00,T,-18,138.5,996,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/24/1907 23:00,T,-19.7,137.5,1000,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/25/1907 23:00,T,-22.5,138,1002,,,Imported from CYCARD; June 2009
unnamed,AU190607_01U,1/26/1907 23:00,T,-29,140,1004,,,Imported from CYCARD; June 2009
unnamed,AU190708_01U,1/6/1908 23:00,T,-13,140,999,,,Imported from CYCARD; June 2009
unnamed,AU190708_01U,1/7/1908 23:00,T,-15.5,147,999,,,Imported from CYCARD; June 2009
unnamed,AU190708_01U,1/8/1908 23:00,T,-17,150,999,,,Imported from CYCARD; June 2009
unnamed,AU190708_01U,1/9/1908 23:00,T,-20.5,152.5,1000,,,Imported from CYCARD; June 2009
unnamed,AU190708_01U,1/10/1908 23:00,T,-21,156,1000,,,Imported from CYCARD; June 2009
unnamed,AU190708_02U,3/11/1908 23:00,T,-18,150.2,1002,,,Imported from CYCARD; June 2009
unnamed,AU190708_02U,3/12/1908 23:00,T,-23,149,992,,,Imported from CYCARD; June 2009
unnamed,AU190708_02U,3/13/1908 23:00,T,-26.5,150.5,1006,,,Imported from CYCARD; June 2009
unnamed,AU190809_01U,1/29/1909 23:00,T,-14,153,1000,,,Imported from CYCARD; June 2009
unnamed,AU190809_01U,1/30/1909 23:00,T,-14.5,153.5,999,,,Imported from CYCARD; June 2009
unnamed,AU190809_01U,1/31/1909 23:00,T,-15.2,154,996,,,Imported from CYCARD; June 2009
unnamed,AU190809_01U,2/1/1909 23:00,T,-17.6,155.8,992,,,Imported from CYCARD; June 2009
unnamed,AU190809_01U,2/2/1909 23:00,T,-21.4,156.9,990,,,Imported from CYCARD; June 2009
unnamed,AU190809_01U,2/3/1909 23:00,T,-24.5,159.3,996,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/24/1910 23:00,T,-12.7,147.9,,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/25/1910 23:00,T,-13.8,147,988,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/26/1910 23:00,T,-15.7,145.8,,,,Imported from CYCARD; June 2009
unnamed,AU190910_01U,1/27/1910 8:00,T,-16.4,145.3,,,,Imported from CYCARD; June 2009
